Paises;Sum of deaths;health expend_2019;health expend_2020;TotalPop;Deaths_pc;;
Afghanistan;1971;74.23410797;80.28805542;38041757;0.0000518;;
Albania;1003;0;0;2862427;0.0003504;;
Algeria;2596;250.5607758;214.8517914;43053054;0.0000603;;
Andorra;79;3061.790527;3336.917725;76177;0.0010371;;
Angola;371;69.37934113;50.74262238;31825299;0.0000117;;
Anguilla;0;Na;Na;14872;0.0000000;;
Antigua and Barbuda;4;801.5438232;830.3395386;97115;0.0000412;;
Argentina;40766;958.5234985;863.7144165;44780675;0.0009103;;
Armenia;2503;549.4743652;551.543396;2957728;0.0008463;;
Aruba;46;Na;Na;106310;0.0004327;;
Australia;908;5555.374023;5901.106445;25203200;0.0000360;;
Austria;4400;5262.054199;5585.088379;8858775;0.0004967;;
Azerbaijan;1922;191.7555237;191.2273102;10047719;0.0001913;;
Bahamas;163;1921.127075;1850.996216;389486;0.0004185;;
Bahrain;348;996.47229;978.7481079;1641164;0.0002120;;
Bangladesh;7052;47.66782379;50.66413116;163046173;0.0000433;;
Barbados;7;1171.256226;1199.712036;287021;0.0000244;;
Belarus;1263;390.2497253;408.0947266;9452409;0.0001336;;
Belgium;17951;4983.656738;5009.455078;11455519;0.0015670;;
Belize;195;303.533905;277.990387;390351;0.0004996;;
Benin;44;27.17067146;32.12714767;11801151;0.0000037;;
Bermuda;9;Na;Na;62508;0.0001440;;
Bhutan;0;115.3208084;133.7031403;763094;0.0000000;;
Bolivia;9018;239.1754456;241.1182251;11513102;0.0007833;;
Bonaire, Saint Eustatius and Saba;3;Na;Na;25983;0.0001155;;
Bosnia and Herzegovina;3336;543.9828491;591.4064331;3300998;0.0010106;;
Botswana;37;408.8959961;362.7345276;2303703;0.0000161;;
Brazil;181402;850.4328613;700.7127075;211049519;0.0008595;;
British_Virgin_Islands;1;Na;Na;30033;0.0000333;;
Brunei Darussalam;3;674.6516113;650.4782105;433296;0.0000069;;
Bulgaria;5688;697.8963623;856.7045288;7000039;0.0008126;;
Burkina Faso;71;41.07073212;54.17696762;20321383;0.0000035;;
Burundi;1;16.58985329;16.42022514;11530577;0.0000001;;
Cambodia;0;115.2595367;115.7646408;16486542;0.0000000;;
Cameroon;443;56.18640518;58.00534439;25876387;0.0000171;;
Canada;13431;5083.725586;5619.416016;37411038;0.0003590;;
Cape_Verde;110;Na;Na;549936;0.0002000;;
Cases_on_an_international_conveyance_Japan;7;Na;Na;0;0.0000000;;
Cayman_Islands;2;Na;Na;64948;0.0000308;;
Central African Republic;63;34.23019409;41.96052933;4745179;0.0000133;;
Chad;102;30.53188515;34.80130768;15946882;0.0000064;;
Chile;15886;1369.484009;1278.178833;18952035;0.0008382;;
China;4739;539.6194458;583.4321899;1433783692;0.0000033;;
Colombia;39053;522.5492554;477.2748108;50339443;0.0007758;;
Comoros;7;77.80075073;80.82440186;850891;0.0000082;;
Congo;99;58.90272522;80.80835724;5380504;0.0000184;;
Costa Rica;1895;914.8847046;953.0825806;5047561;0.0003754;;
CÙte d'Ivoire;133;73.93050385;76.30815125;25716554;0.0000052;;
Croatia;2640;1040.085693;1094.532837;4076246;0.0006477;;
Cuba;137;1013.101379;1186.161377;11333484;0.0000121;;
Cura√ßao;11;Na;Na;163423;0.0000673;;
Cyprus;78;2043.678589;2245.36084;875899;0.0000891;;
Czech Republic;9609;1803.052734;2119.848633;10649800;0.0009023;;
Democratic Republic of the Congo;355;19.85771751;21.25385666;86790568;0.0000041;;
Denmark;941;6058.830078;6438.393066;5806081;0.0001621;;
Djibouti;61;62.30675125;62.80937195;973557;0.0000627;;
Dominica;0;442.5115967;426.6643677;71808;0.0000000;;
Dominican Republic;2361;346.5079041;354.0953369;10738957;0.0002199;;
Ecuador;13875;487.3314514;478.5300293;17373657;0.0007986;;
Egypt;6920;145.3107605;150.9065552;100388076;0.0000689;;
El Salvador;1205;364.1308594;385.7433777;6453550;0.0001867;;
Equatorial Guinea;85;222.7387085;236.6204529;1355982;0.0000627;;
Eritrea;0;25.25788498;23.98132896;3497117;0.0000000;;
Estonia;149;1598.837524;1787.866577;1324820;0.0001125;;
Eswatini;127;259.2445068;219.1039124;1148133;0.0001106;;
Ethiopia;1806;26.22917175;28.69671059;112078727;0.0000161;;
Falkland_Islands_(Malvinas);0;Na;Na;3372;0.0000000;;
Faroe_Islands;0;Na;Na;48677;0.0000000;;
Fiji;2;228.3589478;186.3637695;889955;0.0000022;;
Finland;453;4460.109375;4726.141602;5517919;0.0000821;;
France;57911;4508.341309;4768.727051;67012883;0.0008642;;
French_Polynesia;91;Na;Na;279285;0.0003258;;
Gabon;63;208.2883453;228.9761353;2172578;0.0000290;;
Gambia;123;22.83255005;18.58098984;2347696;0.0000524;;
Georgia;1839;308.5666504;320.0052185;3996762;0.0004601;;
Germany;21975;5478.102539;5930.332031;83019213;0.0002647;;
Ghana;327;73.52350616;84.97839355;30417858;0.0000108;;
Gibraltar;5;Na;Na;33706;0.0001483;;
Greece;3625;1569.029053;1675.117065;10724599;0.0003380;;
Greenland;0;Na;Na;56660;0.0000000;;
Grenada;0;487.6029053;491.0820618;112002;0.0000000;;
Guam;118;Na;Na;167295;0.0007053;;
Guatemala;4423;278.5489807;289.1265564;17581476;0.0002516;;
Guernsey;13;Na;Na;64468;0.0002017;;
Guinea;79;42.68258286;46.84191895;12771246;0.0000062;;
Guinea-Bissau;44;61.00823593;61.43194199;1920917;0.0000229;;
Guyana;155;319.3625794;378.0621643;782775;0.0001980;;
Haiti;234;53.79244232;45.41944504;11263079;0.0000208;;
Holy_See;0;Na;Na;815;0.0000000;;
Honduras;2975;184.0391846;212.6973114;9746115;0.0003053;;
Hungary;7130;1053.723633;1163.246826;9772756;0.0007296;;
Iceland;28;5865.231445;5636.935059;356991;0.0000784;;
India;143355;60.66871643;56.62868881;1366417756;0.0001049;;
Indonesia;18819;120.5895844;132.9633331;270625567;0.0000695;;
Iran;52196;450.5970154;573.40448;82913893;0.0006295;;
Iraq;12579;239.5789185;202.3096771;39309789;0.0003200;;
Ireland;2124;5430.99707;6092.176758;4904240;0.0004331;;
Isle_of_Man;25;Na;Na;84589;0.0002955;;
Israel;2999;3454.468018;3867.404541;8519373;0.0003520;;
Italy;64520;2910.62793;3057.04248;60359546;0.0010689;;
Jamaica;273;343.0619202;325.7205505;2948277;0.0000926;;
Japan;2585;4378.774902;4388.095703;126860299;0.0000204;;
Jersey;32;Na;Na;107796;0.0002969;;
Jordan;3365;314.8845215;298.6446228;10101697;0.0003331;;
Kazakhstan;2552;270.0130615;341.5420837;18551428;0.0001376;;
Kenya;1587;86.06783295;83.39618683;52573967;0.0000302;;
Kosovo;1198;Na;Na;1798506;0.0006661;;
Kuwait;911;1643.569702;1532.560181;4207077;0.0002165;;
Kyrgyzstan;1312;63.05092621;63.69342041;6415851;0.0002045;;
Laos;0;Na;Na;7169456;0.0000000;;
Latvia;349;1183.115112;1313.354126;1919968;0.0001818;;
Lebanon;1200;731.6715698;994.4899902;6855709;0.0001750;;
Lesotho;44;120.5479584;107.0990677;2125267;0.0000207;;
Liberia;83;52.09077454;56.70612335;4937374;0.0000168;;
Libya;1299;0;0;6777453;0.0001917;;
Liechtenstein;18;Na;Na;38378;0.0004690;;
Lithuania;825;1369.979492;1522.168457;2794184;0.0002953;;
Luxembourg;396;6221.73877;6757;613894;0.0006451;;
Madagascar;258;19.35046577;17.94573784;26969306;0.0000096;;
Malawi;187;30.01859474;32.9824791;18628749;0.0000100;;
Malaysia;415;427.4628601;418.6626587;31949789;0.0000130;;
Maldives;48;851.5093994;825.5690308;530957;0.0000904;;
Mali;194;32.61206436;35.45159149;19658023;0.0000099;;
Malta;166;2943.631348;3135.405311;493559;0.0003363;;
Marshall_Islands;0;Na;Na;58791;0.0000000;;
Mauritania;222;60.2051506;59.04924774;4525698;0.0000491;;
Mauritius;10;671.8604736;560.4064331;1269670;0.0000079;;
Mexico;113953;552.7042236;538.574585;127575529;0.0008932;;
Moldova;2572;284.306366;306.6489258;4043258;0.0006361;;
Monaco;2;3055.439209;3085.443604;33085;0.0000605;;
Mongolia;0;182.8653565;199.8163147;3225166;0.0000000;;
Montenegro;582;732.3495483;866.168335;622182;0.0009354;;
Montserrat;1;Na;Na;4991;0.0002004;;
Morocco;6624;177.2479401;187.404007;36471766;0.0001816;;
Mozambique;142;40.41281128;34.28385544;30366043;0.0000047;;
Myanmar;2268;61.15328217;72.11206124;54045422;0.0000420;;
Namibia;160;431.8178101;379.5402832;2494524;0.0000641;;
Nepal;1698;52.83312607;58.31042099;28608715;0.0000594;;
Netherlands;10034;5340.612793;5846.154785;17282163;0.0005806;;
New Zealand;0;Na;Na;4783062;0.0000052;;
New_Caledonia;25;4081.59082;4201.629395;282757;0.0000000;;
Nicaragua;162;161.9863434;161.1998138;6545503;0.0000247;;
Niger;80;31.21994209;35.00711823;23310719;0.0000034;;
Nigeria;1197;69.68148041;69.76184845;200963603;0.0000060;;
Northern_Mariana_Islands;2121;421.38974;452.9664002;57213;0.0000350;;
Norway;2;Na;Na;5328212;0.0000726;;
Oman;387;8007.355469;7704.436035;4974992;0.0002957;;
Pakistan;1471;728.2548218;844.6165772;216565317;0.0000408;;
Palestine;8832;37.07548523;36.02741241;4981422;0.0002166;;
Panama;1079;Na;Na;4246440;0.0007903;;
Papua New Guinea;3356;1318.037598;1214.548462;8776119;0.0000009;;
Paraguay;8;60.31322479;63.92642593;7044639;0.0002772;;
Peru;1953;415.888794;405.6254273;32510462;0.0011282;;
Philippines;36677;366.5649109;388.5455627;108116622;0.0000808;;
Poland;8733;142.2366486;164.7370758;37972812;0.0006021;;
Portugal;22864;1014.038208;1025.984863;10276617;0.0005409;;
Puerto_Rico;5559;2221.730957;2341.640137;2933404;0.0004336;;
Qatar;1272;Na;Na;2832071;0.0000847;;
Republic of Korea;240;2207.654297;2188.382813;51225321;0.0000115;;
Romania;13385;738.5581665;809.5888062;19414458;0.0006894;;
Russia;46941;653.999939;773.8782959;145872260;0.0003218;;
Rwanda;56;51.0831871;57.49529648;12626938;0.0000044;;
Saint Kitts and Nevis;0;1204.340942;1104.942139;52834;0.0000000;;
Saint Lucia;4;514.1644287;607.7525024;182795;0.0000219;;
Saint Vincent and the Grenadines;0;375.0258179;401.6103516;110593;0.0000000;;
San Marino;51;3951.051025;3937.656006;34453;0.0014803;;
Sao Tome and Principe;17;104.9457245;106.9239044;215048;0.0000791;;
Saudi Arabia;6048;0;0;34268529;0.0001765;;
Senegal;349;65.75260925;76.77999878;16296362;0.0000214;;
Serbia;2331;641.0321655;672.3267822;6963764;0.0003347;;
Seychelles;0;786.6508789;726.9081421;97741;0.0000000;;
Sierra Leone;75;44.81790924;43.20675278;7813207;0.0000096;;
Singapore;29;2826.01001;3536.996094;5804343;0.0000050;;
Sint_Maarten;26;Na;Na;42389;0.0006134;;
Slovakia;1175;1342.074829;1393.624268;5450421;0.0002156;;
Slovenia;1459;2219.100586;2417.20874;2080908;0.0007011;;
Solomon Islands;0;103.8037033;99.12821198;669821;0.0000000;;
Somalia;121;Na;Na;15442906;0.0000078;;
South Africa;23276;550.4802246;489.6435852;58558267;0.0003975;;
South Sudan;587;2595.223389;2642.414307;11062114;0.0000056;;
Spain;62;23.71821594;33.23439407;46937060;0.0010146;;
Sri Lanka;47624;2712.509033;2900.645264;21323734;0.0000071;;
Sudan;152;142.0511627;151.0559998;42813237;0.0000315;;
Suriname;1347;35.98295401;23.39452934;581363;0.0002013;;
Sweden;117;592.975769;459.5627747;10230185;0.0007345;;
Switzerland;7514;5652.989746;6027.967285;8544527;0.0006294;;
Syria;5378;9666.980469;10309.7627;17070132;0.0000303;;
Taiwan;518;0;0;23773881;0.0000003;;
Tajikistan;7;Na;Na;9321023;0.0000094;;
Thailand;88;61.76633072;69.69489288;69625581;0.0000009;;
The Republic of North Macedonia;60;294.460083;305.0879211;2077132;0.0010211;;
Timor-Leste;0;79.26290131;120.8697434;1293120;0.0000000;;
Togo;66;49.42482758;53.49979782;8082359;0.0000082;;
Trinidad and Tobago;122;1071.89624;1030.712402;1394969;0.0000875;;
Tunisia;3894;189.7496948;221.6846771;11694721;0.0003330;;
Turkey;16199;397.4091187;395.2404175;82003882;0.0001975;;
Turks_and_Caicos_islands;6;Na;Na;38194;0.0001571;;
Uganda;221;33.40487289;33.90138245;44269587;0.0000050;;
Ukraine;15247;246.9130249;269.7290039;43993643;0.0003466;;
United Arab Emirates;617;1947.130737;2121.446777;9770526;0.0000631;;
United Kingdom;64170;4265.201172;4926.631348;66647112;0.0009628;;
United Republic of Tanzania;21;39.56215286;39.30883408;58005461;0.0000004;;
United States of America;299177;10661.02832;11702.40918;329064917;0.0009092;;
United_States_Virgin_Islands;23;Na;Na;104579;0.0002199;;
Uruguay;92;1677.0979;1429.512695;3461731;0.0000266;;
Uzbekistan;612;98.5874176;120.5044403;32981715;0.0000186;;
Vanuatu;0;101.974411;114.2296219;299882;0.0000000;;
Venezuela;949;113.2597885;142.4585877;28515829;0.0000333;;
Vietnam;35;173.6504517;166.231842;96462108;0.0000004;;
Wallis_and_Futuna;0;Na;Na;0;0.0000000;;
Western_Sahara;1;Na;Na;582458;0.0000017;;
Yemen;606;0;0;29161922;0.0000208;;
Zambia;367;67.4577713;53.75365829;17861034;0.0000205;;
Zimbabwe;307;54.80850601;50.67650986;14645473;0.0000210;;
